Year,Location,Sex,Age group,Number of new cancers,Population,Incidence rate (per 100000),Suppress,Unstable,Lower 95% confidence bound,Upper 95% confidence bound
2010,Minnesota,Female,All ages combined,317,2675092,9.8,FALSE,FALSE,8.7,11
2010,Minnesota,Male,All ages combined,998,2635245,39.9,FALSE,FALSE,37.4,42.5
2011,Minnesota,Both combined,All ages combined,1373,5347108,23.5,FALSE,FALSE,22.2,24.8
2011,Minnesota,Female,All ages combined,322,2691415,9.7,FALSE,FALSE,8.7,10.9
2011,Minnesota,Male,All ages combined,1051,2655693,40.7,FALSE,FALSE,38.2,43.3
2012,Minnesota,Both combined,All ages combined,1333,5379646,22.3,FALSE,FALSE,21.1,23.5
2012,Minnesota,Female,All ages combined,313,2707289,9.2,FALSE,FALSE,8.2,10.3
2012,Minnesota,Male,All ages combined,1020,2672357,38.9,FALSE,FALSE,36.5,41.4
2013,Minnesota,Both combined,All ages combined,1233,5420380,19.8,FALSE,FALSE,18.6,20.9
2013,Minnesota,Female,All ages combined,299,2727081,8.8,FALSE,FALSE,7.8,9.9
2013,Minnesota,Male,All ages combined,934,2693299,33.6,FALSE,FALSE,31.4,35.8
* To protect an individual's privacy counts are suppressed if the underlying population is less than or equal to 1000 people (or 5000 people for a 5-year period). If the column labeled Suppress is labeled TRUE then data are suppressed and will not appear.,,,,,,,,,,
"Counts may also be suppressed in certain situations. See ""About the Cancer Data"": https://apps.health.state.mn.us/mndata/cancer_metadata",,,,,,,,,,
Rates based on numerators less than 10 may be unstable and should be interpreted with caution. If the column labeled Unstable has a value of TRUE then that row has an unstable rate.,,,,,,,,,,
"Rates for ""All Ages"" are age-adjusted to the standard 2000 U.S. population. Rates for an age group (e.g. 0-14 years) are specific to that age group.",,,,,,,,,,
Cancer incidence data is collected by the Minnesota Cancer Surveillance System (MCSS). MCSS is an ongoing program at the Minnesota Department of Health and Minnesota's central cancer registry.,,,,,,,,,,
Source:,,,,,,,,,,
Minnesota Public Health Data Access,,,,,,,,,,
Minnesota Environmental Public Health Tracking Program,,,,,,,,,,
Minnesota Department of Health,,,,,,,,,,
P.O. Box 64882,,,,,,,,,,
"St. Paul, MN 55164-0882",,,,,,,,,,
Phone: (651) 201-5900 or toll free: 1-800-205-4987,,,,,,,,,,
Fax: (651) 201-5926,,,,,,,,,,
E-mail: tracking.health@state.mn.us,,,,,,,,,,
Web: https://apps.health.state.mn.us/mndata/ ,,,,,,,,,,
